Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2018-01-27,Cop Car,2015,https://boxd.it/o6qO5,4.5,,"The role Kevin Bacon was meant to play. This film doesn’t say much, but it’s a good exercise.",,2018-01-25
2018-01-27,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/o75MT,2,,"<b>This bit originally appeared on <a href=""http://bit.ly/redbillboards"" rel=""nofollow"">Extratone</a>.</b>


Indeed, it may be the time to jab at the rural, working-class South, but Martin McDonagh claims to have written his Golden Orb Special “eight years ago,” long before Tump, and any critical resolution the film provides is argued haphazardly. Consequently, its eye is cast on this strange, satirical portrayal of the Midwest in a manner which is inaccurate and insensitive enough to irk this Missourian. When I saw it at Columbia’s Ragtag Cinema this week, it was introduced by a young employee who noted that 1) Ebbing, Missouri is not a real place, 2) the film was actually shot in one of the Carolinas (an audience member suggested incorrectly that it was in SC,) and 3) we should prepare ourselves to be roused a bit by a bar scene in which a character pays $8 for two beers because “that just wouldn’t happen” (the Ragtag also serves alcohol.)


The “redemption arc” of the racist “hick” “loser” Officer Dixon (Sam Rockwell) was rightfully <a href=""https://www.vox.com/2018/1/19/16878018/three-billboards-controversy-racist-sam-rockwell-redemption-flannery-oconnor"" rel=""nofollow"">at the center</a> of the film’s controversy, but even if one imagines his role and fate written differently - perhaps with him irrecoverably shunned and/or visibly punished for his excessive, hateful violence - his rubishness would still be unforgivable. Living with his mother and turtle feels like an effort to humanize him - and, by extension, racist small-town cops as a whole. The Huffington Post’s Zeba Blay wrote an <a href=""https://www.huffingtonpost.com/entry/white-critics-three-billboards-racism_us_5a3135eae4b091ca268479f3"" rel=""nofollow"">essential take</a> on why Three Billboards - with its terrifyingly racist dork - was received the way it was.

<blockquote>Rockwell’s character is the racist uncle whom white liberals fear and love. The ability to feel for him ― to root for him in spite of his past transgressions, because he really is a “good man at heart,” an idiot who doesn’t know any better ― offers a kind of catharsis for the white viewer who can’t or won’t deal with true nuance, who is unable to reconcile their own complicity with their desire to be “good.”</blockquote>It’s not as if the film isn’t technically well executed or refreshing - thanks in large part, yes, to Frances McDormand - or that I will not regret appealing on behalf of my home state, but it’s hard not to speak up when Hollywood shits so recklessly on my people. I don’t much like writing about movies because there are so many voices who consistently speak so much more effectively. NPR’s Pop Culture Happy Hour, for instance, did a wonderful job <a href=""https://www.npr.org/sections/monkeysee/2017/12/01/567291457/pop-culture-happy-hour-revenge-redemption-and-three-billboards"" rel=""nofollow"">dissecting</a> the film’s depictions of racism and domestic violence. Gene Demby commented that “[McDonagh] doesn’t get these particular physics of American racism, and he’s not interested in them,” and I think it’s reasonable to suggest that Mark’s not very versed or interested in the physics of American class, either.

If you must differentiate the state of Missouri as a cultural whole between North and South, it is currently more red than blue - we went 56% for Donald and 38% for Hillary - but ask anyone from “somewhere down in the Georgia, Florida, Alabama corner” - as McDonagh put it - where we generally fall, and they’d be unlikely to regard us, fraternally, as the same part of the country. The accents in Three Billboards are not among the wide variety of local dialects you’ll encounter anywhere in the state, but perhaps they wouldn’t be out of place in Sylva, North Carolina, where the film was <a href=""http://wlos.com/news/local/big-movie-comes-to-sylva-shooting-dates-for-three-billboards"" rel=""nofollow"">actually shot</a>.

Regardless of all potential criticism of the film’s cultural perspective or technical excellence - and I think most of it is more valid than any take I could possibly offer - my particular issue with it comes from a culmination of tasteless decisions. If one reasonably successful Irish director were to produce a patronizing film at the expense of Missouri’s working class filled with a ton of absurd, misconstrued characters portrayed by A-list talent on location in a real Missouri town, the side-effectual economic benefits such a production delivers to a locale would make it all more forgivable. Say what you want about us… as long as you’re paying. But to photograph such a film completely separate Missouri - culturally and financially - set in a fictional(ized) town, include the state’s name in its title, before conducting oneself in interviews as if we were a random target on a “Southern” dartboard… Well, that’s awfully shitty.

Boy, working class Americans sure are a riot!

The writing is interesting enough for this, totally-out-of-touch “reviewer,” but I can’t imagine why it won Best Screenplay at the Globes, unless the other nominees were completely, bleakly predictable. (I wouldn’t know.) <a href=""http://extratone.com/wp-content/uploads/2018/01/cock.png"" rel=""nofollow"">This excerpt</a> was the most stirring part of the experience, personally, if only because I really like films that palm strike one in the face without warning with bizarre, chaotic vulgarity (like the elevator scene in Drive.)
 
I suppose it could have been the result of a rational decision to give any depth to Anne (Abbie Cornish) - who is Chief Willoughby’s (Woody Fucking Harrelson) Australian?, much-too-attractive wife - before he kills himself in the last third of the movie, making her suddenly relevant. Or, perhaps it was another attempt to emphasize the emotional repression of “Southern” folks - one of the almost-accurate positives of the film, if only thanks to McDormand’s skill. She and Sam Rockwell won Best Actress and Best Actor in a Supporting Role, respectively, which makes sense - it’s a shame they accepted such an out-of-touch work with which to demonstrate their ability to assume aloof, emotionally-dysfunctional characters.

Growing up astride classes while traveling throughout the vast majority of Missouri for various reasons has made me defensive, and - while my right to speak for hard-working Midwesterners is certainly debatable - I’d suggest the industry at large be more diligently interested when setting is especially emphasized. It is no longer acceptable to pass up the opportunities McDonagh has for critical storytelling in Three Billboards. Racist cops, abusive spouses, unsolved murders, and mishandled grief are real, abundant issues in the country’s breadbasket, and they’re worth discussing responsibly - especially with such a powerful platform. If the purpose of film writing is to help an audience determine whether or not a work is worth spending their time and money to see it in theaters or otherwise, I can tell you - even within my bias and limited authority - that this one just… isn’t.",,2018-01-22
2018-01-30,Shrek,2001,https://boxd.it/odZa9,5,Yes,"Wow. Can you believe <a href=""https://www.rogerebert.com/reviews/shrek-2001"">Ebert gave this film 4/4</a>? I guess I can, technically. This came out 5 months before 9/11 and Will Smith knew its dialogue by heart in <i>I Am Legend</i>. I think I’d rather be dead.",,2018-01-28
2018-01-30,Jaws,1975,https://boxd.it/oeGIj,2,Yes,"It could just be my total cinema illiteracy, but it’s worth noting that there are viewers (<i>American</i> viewers, no less) for whom this film does nothing at all. It’s very well shot and relatively satisfying to look at, but otherwise… not very entertaining, amusing, or frightening. Then again, I’ve spent very little of my life in proximity to the sea and even less swimming in it, and it seems as though literally everyone on Earth adores this movie? An excerpt from one of its most <a href=""https://letterboxd.com/silentdawn/film/jaws/"" rel=""nofollow"">well-received reviews</a> on Letterbox by user <a href=""https://letterboxd.com/silentdawn/"" rel=""nofollow"">SilentDawn</a>:

<blockquote>The film hits you with unmistakable bravado, class, mastery of craft, and beauty. Comedy, terror, suspense, humor, and character all combine into a film that isn't just a film. Rather its something equivalent to a cinematic milestone, where the collective audience is experiencing something different and game-changing. Jaws is beyond description, and the depths of both artistry and entertainment that it reaches is unparalleled in movie history.</blockquote>And when I thought I’d finally found <a href=""https://letterboxd.com/arielrocks5/film/jaws/"" rel=""nofollow"">a critical review</a>, the whole thing was a gag? 

<blockquote>Did you guys seriously think I'd give something like this one star!? Let alone this negative of a review!? Get real guys! Hahahahah!</blockquote>And then there’s the quotes the reviewers themselves choose to pull from the film. <a href=""https://letterboxd.com/nimperatori/film/jaws/"" rel=""nofollow"">Nicholas Imperatori</a>’s begins with

<i>“That's a twenty-footer.""</i>
<i> ""Twenty-five.""</i>

I mean… What? I kept scrubbing back and watching this snippet of dialogue a few times to figure out why it was chosen, but they are just words? Numbers? Mr. Imperatori also chose to cite <a href=""https://youtu.be/MbeXzJDYxS0"" rel=""nofollow"">this shot</a>, which is cool, I guess.

I did not go to film school, so I’ve continued to rewatch <i>Jaws</i> every few years to see if I could possibly absorb <i>some</i> form of the democratic experience through my thick, culturally-daft skull. If I had enough money, I’d buy a bowl of adderall and pay top dollar for a film degree-wielding <i>Jaws</i> lover - or perhaps even a whole panel of them - to explain to me… to go beyond “beyond description,” if you will - why this film should matter. The overwhelmingly positive reception of the film feels like an elaborate joke on me, personally? Is there something wrong with me? Is my life at risk because I publicly expressed this opinion?",,2018-01-29
2018-02-06,Ant-Man,2015,https://boxd.it/otokj,2.5,,"There is virtually nothing creative about this film, but I find ants and <i>The Magic Schoolbus </i>more interesting than a big green man, and it’s cool to see Evangeline Lilly outside of <i>Lost</i>.",,2018-02-05
2018-02-07,Need for Speed,2014,https://boxd.it/ov9ih,1.5,,Aaron Paul’s forehead destroys millions of dollars in supercars.,,2018-02-06
2018-02-09,Ocean's Thirteen,2007,https://boxd.it/ozO3Z,4,,"That was so much fun! I may even hate Vegas less. 

(lol)",,2018-02-09
2018-02-11,Winchester,2018,https://boxd.it/oDT7P,1,,"When you have Helen Mirren’s talent (the singular redeemable component of this film) and a genuinely-interesting, unsettling piece of American lore, it’s an actual travesty to fuck it up this bad. <i>Literally </i>nothing but jump scares. <i>Rose Red </i>makes this plot dangerously redundant. Watch it instead, if you must.",,2018-02-10
2018-02-12,Cars 3,2017,https://boxd.it/oH2Lb,4,,"Astonishingly, almost-aggravatingly beautiful. Ya can’t really be cleverly jaded about this one.",,2018-02-12
2018-02-15,The End of the Tour,2015,https://boxd.it/oMolJ,4,,The nose! The voice! How very DFW.,,2018-02-14
2018-02-18,Mom and Dad,2017,https://boxd.it/oTP2N,5,,"<i><a href=""http://bit.ly/redmom"" rel=""nofollow"">Published on Extratone.</a></i>


The Earth will reach its maximum occupancy load (12 billion) when I am in my mid-fifities, meaning there’ll be more than twice as many gorging, shitting, shooting, complaining, and lying human beings than there were when I started, and perhaps Brian Taylor’s <i>Mom and Dad</i> is in fact a reasoned argument for a particular solution to our inevitable plight. I’m still not sure what a “cult” movie is, precisely, but I can’t imagine what sort of cult could possibly sustain itself around the ethos of this film alone, despite its concise, agitating, at once lighthearted, yet genuinely-disturbing trip. No, it is probably not propaganda. From the experts, you’ll get precisely the same review, varying only in length. <i>The New York Times</i>’ Glenn Kenny <a href=""https://www.nytimes.com/2018/01/18/movies/mom-and-dad-review-nicolas-cage.html"" rel=""nofollow"">couldn’t be bothered</a> with more than 250 words, but RogerEbert dot com’s Simon Abrams <a href=""https://www.rogerebert.com/reviews/mom-and-dad-2018"" rel=""nofollow"">shelled out a whole 1000</a>. They are suspiciously close to these big round numbers - perhaps each was written to respective quotas, and perhaps you could say all that could reasonably be said in 10, but I don’t care. 

The tropes here are polished to a miraculous sheen - two emotionally-stunted, middleaged, overly preoccupied-with-their-lost-youth suburban parents (Nicolas Cage and Selma Blair) who’s existing envies & irritations regarding their own classically bratty teenage girl (Anne Winters) and her mischievous little brother (Zackary Arthur) is merely agitated by a sudden TV static-bound killer instinct into bloodlust, not originated. I’m not sure any pill dealer would actually flip off their customers after a fair buy - even in high school, but <i>drugs</i>, a <i>black boyfriend</i>, and a <i>stinkbomb</i>? in the old Trans Am!? <i><b>I’m going to kill you!</b></i>

Somebody, somewhere knew all the best sources on suburbia and how to put them to good use. The Camry, the golf bag, ping pong smashing, sweat-stained Big Sur tee, and Dr. Oz, for Christ’s sake! Granted, talking to your girlfriend/boyfriend on the phone at all is a bit dated - especially while riding a BMX - and I don’t think Froot Loops are generally accepted middle-class chow anymore. These are staples from <i>my</i> youth, and I am very old. Technically, the iMessage bubble graphics are more chronographically appropriate, but with great consequence, I fear - if we’re going to accept them once and for all as authentic mechanisms for telling stories set in the present, they are going to age faster than Nick’s new jowls (unless we’re all soon killed by our parents.) It’s been two years since I knew anything about music, but I seriously doubt even the gothest fifteen?-year-old girls are listening to <a href=""https://soundcloud.com/billsaberdotcom/iknowupussiesdontwantit"" rel=""nofollow"">Father-esque post-Memphis horrorcore</a> in class - there’s something about SoundCloud that really clashes with chokers.

If there was ever a film in which to use grimy dubstep-influenced electronic slaps, buzzes, chirps, and great grating clanking, it’s this one. It’s a terrific disappointment that Hollywood feels so timidly about their use of the most intimate medium. One forgets its potential to control the nuances of an audience’s fear, anger, discomfort, and panic beyond cheap jump scares until they experience an irritating, distressing, ghastly gross, all-possessing feat of accentuating audio production such as that of <i>Mom and Dad</i>. If you want to judge Academically the effectiveness of a nominee’s work for an award with a title like Best Sound Editing (as opposed to whatever the hell criteria was met most fully by <i>Skyfall</i>,) you must give the little golden man to <a href=""http://extratone.com/wp-content/uploads/2018/02/momanddadsound.png"" rel=""nofollow"">these folks</a>, whoever they are.

When’s the last time you saw a truly, believably shitty modern parental pair on a big screen? I really can’t remember, myself. Brent and Kendall Ryan are masterpieces of character craft - both a perfect précis and thoroughly-defined exploration of miserable white suburbanites. They’re even <i>named</i> unimprovably, which reflects a quality in care and attention to detail that I very much appreciate. They are vain, vulgar, impatient, selfishly afraid, and careless, freely feeling and saying it all directly in front of their children. I love being told explicitly which characters to hate (no joke,) and in this case it’s the whole damned lot. Brian Taylor and Nicolas Cage <a href=""https://youtu.be/MSmJFMabfJc"" rel=""nofollow"">scream</a> it over and over (as I’d like to imagine) a single afternoon of one-take filming, considering that the latter took it upon himself to first <a href=""http://comicbook.com/horror/2018/01/08/nicolas-cage-mom-and-dad-movie-brian-taylor/"" rel=""nofollow"">memorize the entire screenplay</a> and its prose, vanilla to perfection, before photography began, and I hope it all stays with him forever, especially “my mom is such a penis.”

<i>Mom and Dad</i> could conceivably be Nicolas Cage’s <i>I Am Legend</i> if for no other reason than the total lack of possible stand-ins for Brent Ryan - even the standard by which all white suburban Dad performances have been measured in the 21st century, Jason Bateman. Nick himself <a href=""http://variety.com/video/mom-and-dad-toronto-film-festival-nicolas-cage/"" rel=""nofollow"">described</a> it as “punk rock, rebellious, irreverent, original, badass,” and the “number one” movie he’s made in the past ten years (disqualifying <i>National Treasure</i>, in case you were worried.) No surprise, I must agree - this one is a wonderfully raucous and feral thing, but the scene involving the attempted murder of a newborn by her mother (Kendall’s sister) came very close to crossing the line. However, I am old and the intensity of my paternal instincts has probably outpaced my understanding of them. You could also argue, of course, that pushing such boundaries is a core function of a film like <i>Mom and Dad</i>. Nobody ended up vomiting or anything.

This <i>fun</i> thing shouldn’t feel as foreign as it does in cinema, but you already knew that. With all its implicit grapples with overpopulation, kids and gun violence, class, and racism - truly, this is a film charged electrically with current issues. Or maybe not. Ultimately, I can at least tell you for certain that Brian Taylor made exponentially better use of his resources (I couldn’t find a solid number for its production budget) than fucking <i>Winchester</i>, which went horribly wrong, and managed to be refreshingly original (astonishing that nobody’s had this specific idea before.) A spectacular riot, <i>Mom and Dad</i> does all you could possibly want it to do. With just eighty-three minutes to lose, it’s worth the commitment just to hear Nicolas Cage whimper and say “anal beads.”",,2018-02-16
2018-02-25,Monsters vs Aliens,2009,https://boxd.it/p9U39,1,,<b>Do not let your children watch</b> this giantess fetishist propaganda.,,2018-02-24
2018-03-04,Motocrossed,2001,https://boxd.it/prwuB,5,Yes,"Amazing in every way. Probably just should’ve been called <i>Gender</i>, though. Thank goodness this film invented homosexuality!",,2018-03-03
2018-03-31,Jason and the Argonauts,1963,https://boxd.it/qtKy1,4,,"From <a href=""https://boxd.it/iKhJ"" title=""Hawthorn"">Hawthorn</a>:

“The film has the same plot as <i>Shrek</i>.”

“It’s like a telephone for that weird-ass Athena bitch.” 

“My ham radio to the Gods.”

“Significantly more interesting and engaging than <i>The Pirates of the Caribbean</i>.”",,2018-03-30
2018-04-17,Star Wars: The Last Jedi,2017,https://boxd.it/r7C0v,4.5,,Now that’s more like it.,,2018-04-17
2018-05-26,Solo: A Star Wars Story,2018,https://boxd.it/sokLB,2,,"<b>I wrote <i>a lot </i>about this film’s bizarrely malevolent attitude toward slavery and individual rights for <a href=""http://bit.ly/solosw"">for <i>Extratone</i></a>, where you can read it its entirety. Below is a little excerpt about the Han Man himself.</b>
In the past, when film enthusiasts and fans have described Han Solo as “the best character in <i>Star Wars</i>,” they’ve actually been praising his potential as a character, not his material itself, and <i>Solo</i>’s most effective function as a franchise film was to shut that praise down. Han was not at all denied his movie - <i>this</i> is <i>his</i> movie - and it provided him the screentime to show us who he truly is and why we really like him so much: <b>he doesn’t fucking change</b>. The secret to Han Solo’s moral and emotional resiliency is nothing more than halted development. The same old inner conflict between the tough, ruthlessly self-interested persona he does his best to project for everyone around him and the consistent reality of his soft insides was presented in his first scene way back in 1977, and we’re now sure that he was unable to make <i>any</i> progress toward its resolution despite openly and obviously brooding over it for an entire lifetime: from at least as early as his young adulthood in this film until his death at the hands of his little Sith son. <i>There is 0 variation</i>. He <i>always</i> comes back for the cause at the crucial moment after declaring himself through with it. Without fail, he’ll sacrifice the entirety of any self-making enterprise for just about any underdog with a problem who crosses his path. (Which probably explains his constantly-fleeting success as a smuggler well into gray hair and jowls.) <i>Solo</i> is abundantly clear about Han’s true nature and very willing to expose how uninteresting it is. When he first proclaims to Qi-ra that he’s become “an outlaw,” she shuts him down with the film’s ultimate quote, insisting that she “knows who [he] really is: <i>the good guy</i>.”

...<a href=""http://bit.ly/solosw"" style=""background-color: rgb(24, 28, 32); -webkit-text-size-adjust: 100%;"">continue reading</a>",,2018-05-24
2018-08-07,The Last Unicorn,1982,https://boxd.it/v2tER,4,,<blockquote>You pretentious kneecap.</blockquote>,,2018-08-06
2018-09-25,Citizen Kane,1941,https://boxd.it/wT2EP,5,,"I vehemently hate good movies, but this is something else. Don't let overuse of the term ""classic"" disparage you this time.",,
2018-11-06,"I, Tonya",2017,https://boxd.it/yuqQD,5,,"Fuck Forrest Gump - the drama in the journey one Tonya Harding found herself on as my existence was first gestating was transported in a single feature film to a new plane of quintessential Americana. Instead of going on, I’ll spare you today and say, simply: 1) I, Tonya was clearly the best film I’ve seen this year, and 2) it is required viewing.",,2018-11-04
2018-11-15,Titanic II,2010,https://boxd.it/yP5Xb,5,,"This film is an essential cultural artifact, but only if disaster humor is really precious to you. Basically, you only need to know a few things:

- At one point, they use a CREDIT CARD to plug a wound to stop the bleeding
- A young woman looks back at the sinking ship from her emergency life raft boat thing and whispers ""not again.""
- There's a monologue at the beginning of the second act with so many critical mistakes that they must've had to do it in a single take.
- An Australian billionaire named Clive Palmer is BUILDING A REPLICA OF THE OLD ONE RIGHT NOW CALLED TITANIC II, which overshadows this film if only because they're not even going to modernize it.
- Despite all of this, Titanic 2 managed to be the Best Motion Picture of 2010.",,
2018-12-03,Iron Man 3,2013,https://boxd.it/zAmrb,3.5,,My bones ache. Miss that first one.,,2018-12-01
2018-12-03,Batman v Superman: Dawn of Justice,2016,https://boxd.it/zAsbX,1,,What on God’s green Earth was that.,,2018-12-02
2018-12-09,The American Meme,2018,https://boxd.it/zOrih,4,,What an effective way to explain to your parents why you want to die.,,2018-12-08
2018-12-10,Dumplin',2018,https://boxd.it/zRC1H,5,,<b>EXCEPTIONAL. </b>All of America needs to watch this.,,2018-12-09
2019-01-03,Avengers: Infinity War,2018,https://boxd.it/BaijN,1.5,,Tired of these scrubs. More <i>Black Panther </i>please.,,2019-01-03
2019-01-03,Bird Box,2018,https://boxd.it/BazA7,3,,"Well, it certainly captured my attention.",,2019-01-03
2019-01-16,Get Out,2017,https://boxd.it/C4ik9,5,,HOLY SHIT. The most effective horror movie I’ve seen in a long time.,,2019-01-16
2019-04-04,The Highwaymen,2019,https://boxd.it/Geyul,2,,Uh huh. Are we finally okay to say goodbye to this story? Listen to Serge Gainsbourg & Brigitte Bardot instead.,,
2019-07-29,Max Keeble's Big Move,2001,https://boxd.it/LXw75,5,Yes,"Revisiting <i>Big Move </i>for the first time since it was regularly cycled on the Disney cable channel during childhood had me wondering if the shear absurdity of the Principal villain was the only reason I “liked” this movie. 
Fuck <i>Oceans</i>, <i>Keeble</i> is where it’s at.",,2019-07-28
2019-07-30,The Great Hack,2019,https://boxd.it/LZeHt,1.5,,"Look, if this is how you choose to explore current events subjects like this...

I don't understand you at all, but this will probably work okay.",,
2019-07-31,The Body,2018,https://boxd.it/M4VLt,4,,"There is absolutely <b>zero </b>quantifiable reason why I was so entertained by this, but I was. Wouldn’t subscribe to Hulu with my own money for it though.",,2019-07-31
2019-07-31,I'm Just F*cking with You,2019,https://boxd.it/M4VQD,5,,"<b>This one,</b> though... 

Probably just because its subject reminds me so much of an annoying, rapey bartender I know.",,2019-07-31
2019-08-21,Bob Lazar: Area 51 and Flying Saucers,2018,https://boxd.it/N95Ez,1,,"Irritating and stupidly lazy. Regardless of its contents’ validity, calling this film a <i>documentary </i>is a real stretch.",,2019-08-20
2019-10-03,Isn't It Romantic,2019,https://boxd.it/PoFgV,2,,"Ya know, this could've been a great parody if it was committed. I want films that aren't afraid to leave me feeling like shit.",,
2019-10-28,Joker,2019,https://boxd.it/QVUPB,4,,What a performance... I hope this film’s criticism of its own franchise’s supposed hero means <b><i>at least one ancient superhero IP HAS BEEN FINALLY ALLOWED TO DIE???</i></b>,,2019-10-28
2019-12-18,Hancock,2008,https://boxd.it/U4QvH,3.5,Yes,lol,,2019-12-17
2020-01-01,Toy Story 4,2019,https://boxd.it/VhDZ5,3,,"By golly, have we finally managed to say goodbye to an American film franchise? Have we finally let something go?! 


Read <a href=""https://letterboxd.com/ryandeel/film/toy-story-4/"">Ryan Dell's review</a>.",,
2020-01-11,Ready Player One,2018,https://boxd.it/WhcOD,0.5,,"Generation X, 

I really fucking hate you but it seems that’s what you want.",,2020-01-11
2020-01-13,Ocean's Eight,2018,https://boxd.it/WqwVx,5,,So many of my favorite ladies! What a treat! How very refreshing!,,2020-01-12
2020-01-25,Enemy at the Gates,2001,https://boxd.it/XykRN,2,Yes,"I just realized this time around that I only remember this movie by the sex scene, which is odd. Sniper tropes and all that. <i>Life is cheap in russia</i>... yadda yadda. Maybe if they’d at least tried at all to be not English as all hell telling a distinctly russian story it’d be respectable.",,2020-01-24
2020-02-16,Horse Girl,2020,https://boxd.it/Zwaqh,2.5,,<b>Trudy???!!!</b>,,2020-02-14
2020-03-01,Homecoming: A Film by Beyoncé,2019,https://boxd.it/10Erlj,5,,"Spectacular!!
Moving
Essential.",sierra,2020-02-29
2020-03-04,Steve Jobs,2015,https://boxd.it/10YFmb,3,,"qwerky old steve!!

what a goober!",,2020-03-04
2020-03-21,1917,2019,https://boxd.it/12mVh9,4.5,,Intense.,sierra,2020-03-21
2020-03-31,Lady Bird,2017,https://boxd.it/13xevj,3,,"Another white girl coming-of-age story starring Sirsha Ronan. Funny enough but I'm just so tired, you know?",,
2020-04-01,The Platform,2019,https://boxd.it/13DSxV,2.5,,<b>Humpty Dumpty</b>,sierra,2020-03-31
2020-04-02,Star Wars: The Rise of Skywalker,2019,https://boxd.it/13KPcT,1,,What a mess.,sierra,2020-04-01
