topic_title,categories,is_pm,post,like_count,reply_count,url,created_at
New Post Emails Not Being Sent to Email Subscribers,Help,No,"Just wanted to add [my own related thread](https://discuss.write.as/t/word-character-count-limit-for-letters/1604/4) and - most importantly - the problem/solution I just recently realized. (95% certain about it.):

[quote=""DavidBlue, post:4, topic:1604""]
I think I realized the problem. Part of my Writeas workflow has always involved using **scheduled posts** as a method of previewing how a post is going to look on the site as I’m composing. In the past (namely, in the post I was referring to originally in this thread and others,) I had used the same post as the final, published one, by changing the date from some point in the distant future to the current time.

It didn’t occur to me until just recently that this could be very confusing for the site’s backend, so I’ve been making an effort to **create a new post at the point I’m ready to publish** and deleting the scheduled draft. Since, I’ve had absolutely zero issues with new posts arriving in my inbox.
[/quote]",0,0,https://discuss.write.as/t/new-post-emails-not-being-sent-to-email-subscribers/2315/15,2021-05-03T19:50:12.370Z
Markdown inconsistencies and markdown flavour,Feedback,No,"I've been exploring different Markdown variations recently and had a thought on this very vein.

Would you consider publishing WriteFreely's default combination of Markdown support as **a new Markdown Syntax**? (How about *WriteDown*? lol)

It doesn't seem to require all that much documentation - just a spec sheet, which I think (could be wrong) would function as a solution to what we're talking about here.

I know personally I would much rather work around your implementation than try to modify WriteFreely myself - I just need to see that spec sheet. :eyes:",0,1,https://discuss.write.as/t/markdown-inconsistencies-and-markdown-flavour/750/9,2021-05-03T20:05:51.967Z
Add pictures to email publishing,Help,No,"Are y'all talking about embedding image *files* within an email? As far as I understand email, technically, that sounds like it would be a nightmare. 

If I may, as someone who uses my phone to compose/edit/publish as often as I use my desktop, I'd ask you to reevaluate the snap.as workflow just one more time...

To be honest, I thought the separation of the image service was really strange and janky when I first started using Write.as but I absolutely LOVE it now. It has made me so much more efficient, *especially* on mobile. 

Instead of trying to explain any further, I just uploaded [a quick video of the process to Imgur](https://imgur.com/gallery/RkPG9qw).

(The icon I used is a Siri Shortcut that just opens snap.as in a new tab in Chrome.) Uploading an image to a specific gallery, naming it, copying the md code, and returning all took less than 50 seconds. *Most of the time* it takes even less when I'm actually *in the zone*.",0,0,https://discuss.write.as/t/add-pictures-to-email-publishing/2777/3,2021-05-04T03:06:17.953Z
Write.as/WriteFreely Community Discord!,General,No,"Hello, Community!

I'm here to pull the trigger on the Discord server I've wanted to create with you for just about as long as I've been around. This project [means a lot to me](https://write.as/community/chat-with-david-blue) and I'd like to contribute in a substantial way. 

I also know that I'm almost certainly going to need help doing so, so the primary purpose of this first post is to ask that anyone interested in moderating/administrating/otherwise contributing please contact me here, via [Email](mailto:davidblue@extratone.com), or even by phone if you'd like: +1 (573) 823-4380.

My apologies if you came to this post looking for an invite... It shouldn't be very long at all (as in, two weeks at most.) In establishing this buffer period, I am working to avoid the common mistake (which I have made) of distributing invites to a space which is still being configured.

If you have absolutely no idea what I'm talking about, Discord themselves have published [a handy landing page](https://discord.com/open-source) about their platform as a collaborative space for open source communities.

If you're familiar with Slack, I wrote [a brief explanation](https://bilge.world/discord-slack-comparison) of why I chose to use Discord in its place for my little media company.

For the record, I want to do this with as close to *zero* labor required from the team as possible. I intend to contribute as much or as little as the community decides I should. 

(Also, I did run this by Matt today, if you were wondering.)

I hope to hear from you soon! Thank you!",3,0,https://discuss.write.as/t/write-as-writefreely-community-discord/2831/1,2021-05-04T17:10:56.805Z
New: Snap.as API,Announcements,No,"## Some development ideas I probably shouldn’t pursue:

1. I’ve been fantasizing about being the one to establish an integration between Typora and Snapas via Typora’s “[custom image uploader](https://support.typora.io/Upload-Image/#upload-automatically-when-insert-images)” option. 
2. A Siri Shortcut/library of Shortcut actions for interacting with the Snapas API in conjunction with the enhancements provided by [Toolbox Pro](https://www.macstories.net/reviews/toolbox-pro-review-a-must-have-companion-utility-for-shortcuts-power-users/).
3. A Drafts [Action](https://docs.getdrafts.com/actions/) and or [Action Group](https://docs.getdrafts.com/docs/actions/action-groups) which utilizes both writeas and snapas API integrations to make publishing on iOS/MacOS _dangerously seemless_ for powerusers…

That’s the thing - working _around_ the limitations of this suite has demonstrably simplified my life (as I wrote about, unsolicited, in my reply to [this thread](https://discuss.write.as/t/add-pictures-to-email-publishing/2777/3).) Also, I am just hopeless when it comes to understanding APIs… 

If any other users would benefit substantially from the effort, I’d really like to know. And of course if any *real* developers would like to “steal” one, I would love & benefit from that lol",1,0,https://discuss.write.as/t/new-snap-as-api/2652/5,2021-05-05T13:13:55.779Z
"Remark.as - privacy-first, portable comments",Feedback|Future products,No,"[quote=""staticpixel, post:16, topic:25""]
The better thing to do would be to have a link at the end of the blog post connecting to the shared post on any social media site so that people can go there and give feedback.
[/quote]

Please… no… Social share links are a necessity for ad tech-powered publications but they’re ugly and useless? (imo) Please give remark.as a try. I did yesterday (and got a response this morning!) and it felt stupidly natural.",1,0,https://discuss.write.as/t/remark-as-privacy-first-portable-comments/25/67,2021-05-06T16:52:43.352Z
Themes: Not many? Theme Creators Missing/Abandoned Write.as?,Feedback|Feature requests,No,"I just ""released"" [**a (vastly) new version of my theme**](https://github.com/extratone/bilge/releases/tag/3.1) which is (hopefully) optimized for modification. I've never actually done anything all with code before that considered other users so... It just occurred to me that I probably should have taken the time to annotate the CSS...

I will without question if anyone expresses interest.

(Off topic, sortof: unless I'm mistaken, we don't have a *`show off your way over-developed themes`* category on the forum yet lol.)",0,0,https://discuss.write.as/t/themes-not-many-theme-creators-missing-abandoned-write-as/2592/8,2021-05-08T15:39:36.715Z
About the Walkthrough category,Walkthrough,No,"![Title Preview|500x500](upload://qmUixkqL9JQzPRUvTxQjJTA27tm.png) 

This forum better watch out... I'm going all-in on this one.",1,0,https://discuss.write.as/t/about-the-walkthrough-category/908/2,2021-05-09T17:24:14.193Z
Write.as/WriteFreely Community Discord!,General,No,"# Invites

Well folks, that didn't work hehe. I'm going to go ahead and open the server to invites. 

* [**Hyperlink**](https://discord.gg/eBVrcBaaHp)
* `https://discord.gg/eBVrcBaaHp`
* [Shortlink](http://bit.ly/dscrdas): `http://bit.ly/dscrdas`",0,0,https://discuss.write.as/t/write-as-writefreely-community-discord/2831/2,2021-05-15T09:47:09.705Z
Write.as/WriteFreely Community Discord!,General,No,"Please don't apologize! I actually can't think of a better question to ask.

I suppose the fundamental difference between these forums and a Discord server is *a sense of real time*, if that makes sense. Ultimately, it's a chatroom where people can just *be*.

I'm not sure if it'll help but I can tell you my personal motivation for launching a WriteFreely community Discord server centers around a desire to be in a live space with other users. Exploring the rationale of that desire is a bit too existential of a task, but I hope that makes sense.",0,1,https://discuss.write.as/t/write-as-writefreely-community-discord/2831/4,2021-05-16T00:48:06.008Z
Themes: Not many? Theme Creators Missing/Abandoned Write.as?,Feedback|Feature requests,No,"There is not currently a user-facing means of altering the HTML as far as I know, no, but imo this is actually one of WriteFreely/Writeas' unique advantages. If you're willing, I'd encourage you to give the system (as in, ""themes"" as pure CSS/JS modifications) a chance. I would vouch for my own theme as documented above for an example of how configurable this platform can be while remaining uniquely robust/frugal/*functional*.

(Also, welcome! Come bother me in [the community Discord I've been trying to start](https://discord.gg/eBVrcBaaHp), if you'd like.)",0,1,https://discuss.write.as/t/themes-not-many-theme-creators-missing-abandoned-write-as/2592/10,2021-06-09T18:13:57.562Z
New posts are not published on Mastodon,Feedback|Bugs,No,"Probably a stretch, but just in case... I had [an issue](https://discuss.write.as/t/word-character-count-limit-for-letters/1604/4) where auto emails weren't being set up because I'd been scheduling posts ahead of time/messing around with publishing dates. What fixed it: only publishing ""fresh"" drafts. Have you been doing anything similar since November?",0,0,https://discuss.write.as/t/new-posts-are-not-published-on-mastodon/3017/2,2021-06-21T19:11:43.696Z
Bad snap.as uploads need deletion,Help,No,You’re gonna have to delete them one-by-one. [Here’s how.](https://user-images.githubusercontent.com/43663476/125711787-1ac1fc5c-e86b-4de7-8472-590249a15f84.MOV),0,0,https://discuss.write.as/t/bad-snap-as-uploads-need-deletion/3146/2,2021-07-15T01:05:05.121Z
Bad snap.as uploads need deletion,Help,No,"Hmm… That is going to require Matt’s help then. Are you able to enter galleries, if you have any?",0,0,https://discuss.write.as/t/bad-snap-as-uploads-need-deletion/3146/4,2021-07-15T21:41:04.294Z
Consideration: Formal Press Kit/Brand Guidelines,General,No,"I know it probably seems like the least relevant thing possible for you devs, right now, but I was wondering/hoping you might be interested in establishing a formal “brand guidelines” page for the whole organization and/or having a conversation about how you would like me to refer to the company, the community, to WriteFreely the CMS, WriteFreely the iOS application, Write.as the service, etc. when writing, tweeting, and/or just talking about them with potential new clients.

I would also like to offer my (free) services/assistance with this. I’ve developed quite a habit of “collecting” brand and press kits over the years… [Holy crap I just actually counted for the first time and it is over 500 directories… Jez.] So, while I’ve never been employed as a marketing person and generally find the whole practice quite foul, usually, I certainly should (*theoretically*) be familiar enough with professional branding to whip up something that is both ultra-pro and yet still distinctly and intimately *of the values* I know this organization holds.

**BUT**… Wouldn’t it be even cooler if we sortof all did it together, here? Lots of ideas on all of this, but yeah.

For now, I’d just like to know how the team feels about this. If it’s something you’d rather have an actual **ultra-pro leverager brandy man** do, please trust me when I insist that my feelings will not be hurt. As always, I just want the outcome that is maximally beneficial. (U should let me poke him tho, if you do hire one.)",0,0,https://discuss.write.as/t/consideration-formal-press-kit-brand-guidelines/3198/1,2021-07-21T19:36:06.226Z
