id,action,user_auth_token_id,client_ip,auth_token_hash,created_at,path,user_agent
80750,generate,2969,172.17.0.1,Aj9Io...,2021-07-21 21:36:46 UTC,/auth/github/callback,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.8 Safari/537.36"
80751,seen token,2969,172.17.0.1,Aj9Io...,2021-07-21 21:36:46 UTC,/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.8 Safari/537.36"
81159,seen token,2337,104.166.200.131,HBhur...,2021-07-27 21:43:02 UTC,/u/DavidBlue/preferences/account,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Mobile/15E148 Safari/604.1"
81158,rotate,2337,104.166.200.131,HBhur...,2021-07-27 21:43:01 UTC,/my/preferences/account,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Mobile/15E148 Safari/604.1"
77496,generate,2768,172.17.0.1,ddfe0...,2021-06-05 19:21:18 UTC,/auth/github/callback,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41"
77497,seen token,2768,172.17.0.1,ddfe0...,2021-06-05 19:21:18 UTC,/t/new-snap-as-api/2652,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41"
78579,seen token,2337,172.17.0.1,5AaEf...,2021-06-25 01:13:03 UTC,/message-bus/e78459c494e5473c9dfc5886619aa3e8/poll,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
78578,rotate,2337,172.17.0.1,5AaEf...,2021-06-25 01:12:57 UTC,/t/i-created-a-dark-theme-for-write-as/3043/1,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
78582,rotate,2337,172.17.0.1,LAtUO...,2021-06-25 01:28:07 UTC,/t/3043/posts.json,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
78583,seen token,2337,172.17.0.1,LAtUO...,2021-06-25 01:34:48 UTC,/message-bus/e78459c494e5473c9dfc5886619aa3e8/poll,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
78592,rotate,2337,172.17.0.1,kDvmH...,2021-06-25 05:55:02 UTC,/t/i-created-a-dark-theme-for-write-as/3043/3,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
78593,seen token,2337,172.17.0.1,kDvmH...,2021-06-25 05:55:03 UTC,/message-bus/623990ea0b114f84a1ad2eb1f286d91d/poll,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
76977,rotate,2469,172.17.0.1,wZtrS...,2021-05-24 05:53:14 UTC,/stylesheets/desktop_1_63ff731caa65f90c290f1e82ef7288920c681038.css,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4512.3 Safari/537.36"
76978,rotate,2469,172.17.0.1,i6zN5...,2021-05-24 05:54:37 UTC,/topics/timings,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4512.3 Safari/537.36"
76979,rotate,2469,172.17.0.1,MtKEX...,2021-05-24 06:29:03 UTC,/topics/timings,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4512.3 Safari/537.36"
80502,generate,2947,104.166.200.131,Fj0bT...,2021-07-18 08:25:51 UTC,/auth/oauth2_basic/callback,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 Edg/91.0.864.70"
80503,seen token,2947,104.166.200.131,Fj0bT...,2021-07-18 08:25:51 UTC,/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 Edg/91.0.864.70"
80134,rotate,2561,104.166.200.131,7m0th...,2021-07-13 17:26:20 UTC,/user-api-key/new,Discourse/353 CFNetwork/1300.1 Darwin/21.0.0
80135,seen token,2561,104.166.200.131,7m0th...,2021-07-13 17:26:20 UTC,/site/basic-info.json,Discourse/353 CFNetwork/1300.1 Darwin/21.0.0
77033,rotate,2337,104.166.200.131,5yzwI...,2021-05-25 17:16:53 UTC,/u/mathuin,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
77034,seen token,2337,104.166.200.131,5yzwI...,2021-05-25 17:16:53 UTC,/u/mathuin/summary.json,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
77342,rotate,2337,104.166.200.131,ehkna...,2021-05-31 16:51:06 UTC,/user-api-key/new,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
77343,seen token,2337,104.166.200.131,ehkna...,2021-05-31 16:51:09 UTC,/user-api-key,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
78361,rotate,2781,172.17.0.1,VAE7B...,2021-06-21 19:07:57 UTC,/manifest.webmanifest,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36 Edg/91.0.864.54"
78362,seen token,2781,172.17.0.1,VAE7B...,2021-06-21 19:07:57 UTC,/message-bus/2ab2f97d931e455f9cc246f94bde09dd/poll,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36 Edg/91.0.864.54"
77669,generate,2781,172.17.0.1,vg8kl...,2021-06-09 18:04:35 UTC,/auth/github/callback,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41"
77670,seen token,2781,172.17.0.1,vg8kl...,2021-06-09 18:04:35 UTC,/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41"
77673,rotate,2781,172.17.0.1,M3NVl...,2021-06-09 18:15:06 UTC,/notifications,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41"
77674,seen token,2781,172.17.0.1,M3NVl...,2021-06-09 18:15:08 UTC,/u/DavidBlue.json,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41"
78752,rotate,2337,172.17.0.1,ui1so...,2021-06-28 12:33:03 UTC,/user_avatar/discuss.write.as/davidblue/96/258_2.png,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
78753,rotate,2337,172.17.0.1,mzyPW...,2021-06-28 12:35:11 UTC,/topics/timings,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1"
